case	density	dimensions	bytes	sha256	encodedAndPixelEqual
png-0-true	mdpi	48x48	1483	7cfbb11b137c3184c7ea0981741335544eeaf404637f393bc91dd9a9d3129d3b	true
png-0-true	hdpi	72x72	1936	2d513d6b02ae7cd33e7f30e793b22daa43d516d0ba3e3a9696188dd3adeaed7b	true
png-0-true	xhdpi	96x96	2914	70ab484608c12682aabefdfb6ed731fb46299b585bc19d515a0f3df441ac4463	true
png-0-true	xxhdpi	144x144	4749	c7ed1e0af093efdcb5144ac68f36c2da50677b06b3b38b633c0a9905a31531a9	true
png-0-true	xxxhdpi	192x192	7025	ec8e71f77e63454bbadffca37a2cedce7bdfeeca6f23aed2e326e94b5ced2f58	true
png-0-false	mdpi	48x48	2118	8b41d844b5453fba81597db7d0243550bec2263c261e75cdd4e03560f5869e7a	true
png-0-false	hdpi	72x72	3169	caf09972597ce5098a20fe2f310317260147c865df6a1f0c1405e89063e8809d	true
png-0-false	xhdpi	96x96	4599	7ba473e1efe92f5dfc6f305d774f9ec836b1e9dd274ee4d4439d2b3e2eb5e3d5	true
png-0-false	xxhdpi	144x144	7992	ee23ab02aeecd2dac89bc743398abaa1411400673c7da6cc6a656fbb8ba16c8e	true
png-0-false	xxxhdpi	192x192	12375	efe46087d866a16c8014c49de40d7759c66101f2f91461c26a1615788709873a	true
png-1-true	mdpi	48x48	1722	219337885235240edf76ed5f6e3c8b1e83e089c37dbd9181c4de4be4afc031cf	true
png-1-true	hdpi	72x72	2579	882c35c7e6082a796cac508eed6c121f6b4308a6b0e07c6598ff502696ce67b0	true
png-1-true	xhdpi	96x96	4057	7b80644471284e4fd7c2ce31017cbc342a5ce08082ef7bd227bb08e51f42c16e	true
png-1-true	xxhdpi	144x144	6902	682a3d1d046be87d4078dcca7ce212dd882b7d30ec6121f535c27465bd5d7b4e	true
png-1-true	xxxhdpi	192x192	10342	fdbcc867998afb24c2d2fc720add90c83f93863f1e9609b6bc27c6ab49682b26	true
png-1-false	mdpi	48x48	2117	c11101db6ef8e150b3058f76dd7b178e041292ebf4bbb3ea20fbf7ca65e48d25	true
png-1-false	hdpi	72x72	3451	9935ee9b926a3699cc610b58b35fc12dbafaff4bb682f3b25107b12f9249f48c	true
png-1-false	xhdpi	96x96	4725	ed4903836b564fd0a7412718d19a85ac722e9ad4f92160612e05d562778dbc1b	true
png-1-false	xxhdpi	144x144	8028	e9ee4be158e318f3920ceef2766ca109ef789c3f771d3d15a0fba77e940cd643	true
png-1-false	xxxhdpi	192x192	12234	43cba8d015f898b5bff8b32743862cc520f2eb718222e62f84f023eaf8390dfa	true
png-2-true	mdpi	48x48	1664	590fe05a046be2681a0d9fa05dc5cb30d4aee3e41bc78f6fbdde3cf7aef22a5e	true
png-2-true	hdpi	72x72	2443	b349cc327c4113653d7feaa99df471a44305a437e24b79dc8f0885011ecde196	true
png-2-true	xhdpi	96x96	3975	bc2dbbf9b36c20e3b68fe71529ec4f855875b380341853c3dc23bad37e4c21cf	true
png-2-true	xxhdpi	144x144	6503	30d5a26ca0d24386fb37cdf05c9fadfd9d0b3eac78a867191a0f781746057b81	true
png-2-true	xxxhdpi	192x192	9615	f56a4b0e79d67359ad49415deb6ac85bb37652d80544f1a52c7d989535803ba5	true
png-2-false	mdpi	48x48	2094	39033e35fedd73a793e1e9b48ffc5490c72751ef70d20bf92056d1f073ecc310	true
png-2-false	hdpi	72x72	3331	9ee0d42ff5edbc757b46b7c75e34872432e549116e9db5bc757ce42a7521d4b8	true
png-2-false	xhdpi	96x96	4652	88400c1cde903b50517d8c3042e8e8f6f1a666784035a3076b51714ee137b33b	true
png-2-false	xxhdpi	144x144	8167	946a755cc02a62d7bc43ec1a2a2fbd09ed5cd1888d1b56248dde5cf41a6057ea	true
png-2-false	xxxhdpi	192x192	12685	07f929d1e5f0d764be9978a8c212ae2b7029137f0645f905353e069ea6284099	true
png-3-true	mdpi	48x48	2038	cba5bee91a3340d6e29e6b99a4a541e55e215c60754e9e5284c2e3210f0dfbd4	true
png-3-true	hdpi	72x72	3123	dd3aaddb72a622fc1447cb4a771277565101a0c588b79f04fc50218b2c852bf2	true
png-3-true	xhdpi	96x96	5263	ebc2d0a654d56d5fb08411316f76f2e83fb21666e6a6c8cb1cdbec2012eb7689	true
png-3-true	xxhdpi	144x144	8883	aba3cdeb85d76b6863dc187c3d4bb0b7418f8b011d056449180da2f032a71940	true
png-3-true	xxxhdpi	192x192	14745	75251f90905c734203e898178216947cfed225a15cd4dfe926eefedc096b0c1f	true
png-3-false	mdpi	48x48	2147	611d1f7b9107d0733375b678384884a12942012e6a696447c88d0ebd330bdf87	true
