package,name,composable,skippable,restartable,readonly,inline,isLambda,hasDefaults,defaultsGroup,groups,calls,
org.tool.kit.feature.ui.dragAndDropTarget,dragAndDropTarget,1,0,0,0,0,0,0,0,1,4,
org.tool.kit.feature.ui.rememberFilePickerRequest,rememberFilePickerRequest,1,0,0,0,0,0,0,0,1,5,
org.tool.kit.feature.ui.rememberDirectoryPickerRequest,rememberDirectoryPickerRequest,1,0,0,0,0,0,0,0,1,2,
org.tool.kit.App,App,1,1,1,0,0,0,0,0,1,2,
org.tool.kit.AppRoute,AppRoute,1,1,1,0,0,0,0,0,5,18,
org.tool.kit.WindowIcon,WindowIcon,1,0,0,0,0,0,0,0,1,1,
org.tool.kit.MainContentScreen,MainContentScreen,1,1,1,0,0,0,0,0,1,18,
org.tool.kit.rememberRichTooltipPositionProvider,rememberRichTooltipPositionProvider,1,0,0,0,0,0,0,0,1,1,
org.tool.kit.feature.rememberAppState,rememberAppState,1,0,0,0,0,0,0,0,1,2,
org.tool.kit.feature.apk.ApkInformationRoute,ApkInformationRoute,1,1,1,0,0,0,0,0,1,5,
org.tool.kit.feature.apk.ApkInformationScreen,ApkInformationScreen,1,1,1,0,0,0,0,0,3,3,
org.tool.kit.feature.apk.ApkInformationLottie,ApkInformationLottie,1,1,1,0,0,0,0,0,1,1,
org.tool.kit.feature.apk.ApkDraggingBox,ApkDraggingBox,1,1,1,0,0,0,0,0,1,2,
org.tool.kit.feature.apk.ApkInformationBox,ApkInformationBox,1,1,1,0,0,0,0,0,1,2,
org.tool.kit.feature.apk.AppInfoItem,AppInfoItem,1,1,1,0,0,0,0,0,1,2,
org.tool.kit.feature.apk.PermissionsList,PermissionsList,1,1,1,0,0,0,0,0,3,0,
org.tool.kit.feature.apk.ApkToolRoute,ApkToolRoute,1,1,1,0,0,0,0,0,1,7,
org.tool.kit.feature.apk.ApkToolScreen,ApkToolScreen,1,1,1,0,0,0,0,0,1,3,
org.tool.kit.feature.apk.SdkVersionInput,SdkVersionInput,1,1,1,0,0,0,0,0,1,1,
org.tool.kit.feature.apk.VersionInput,VersionInput,1,1,1,0,0,0,0,0,1,1,
org.tool.kit.feature.apk.Sign,Sign,1,1,1,0,0,0,0,0,1,1,
org.tool.kit.feature.apk.Signature,Signature,1,1,1,0,0,0,0,0,1,1,
org.tool.kit.feature.apk.SignatureAlisa,SignatureAlisa,1,1,1,0,0,0,0,0,1,2,
org.tool.kit.feature.apk.Generate,Generate,1,1,1,0,0,0,0,0,1,1,
org.tool.kit.feature.app.AppEffectHost,AppEffectHost,1,1,1,0,0,0,0,0,1,1,
org.tool.kit.feature.cleaner.CleanerRoute,CleanerRoute,1,1,1,0,0,0,0,0,1,7,
org.tool.kit.feature.cleaner.CleanerScreen,CleanerScreen,1,1,1,0,0,0,0,0,1,1,
org.tool.kit.feature.cleaner.ClearBuildPreview,ClearBuildPreview,1,1,1,0,0,0,0,0,1,1,
org.tool.kit.feature.cleaner.ClearBuildList,ClearBuildList,1,1,1,0,0,0,0,0,1,2,
org.tool.kit.feature.cleaner.ClearBuildBottom,ClearBuildBottom,1,1,1,0,0,0,0,0,3,6,
org.tool.kit.feature.cleaner.SequenceDropdownMenu,SequenceDropdownMenu,1,1,1,0,0,0,0,0,1,2,
org.tool.kit.feature.cleaner.DeleteAlertDialog,DeleteAlertDialog,1,1,1,0,0,0,0,0,1,3,
org.tool.kit.feature.iconfactory.IconFactoryRoute,IconFactoryRoute,1,1,1,0,0,0,0,0,1,7,
org.tool.kit.feature.iconfactory.IconFactoryScreen,IconFactoryScreen,1,1,1,0,0,0,0,0,1,2,
org.tool.kit.feature.iconfactory.IconFactoryPreview,IconFactoryPreview,1,1,1,0,0,0,0,0,1,1,
org.tool.kit.feature.iconfactory.IconFactoryResult,IconFactoryResult,1,1,1,0,0,0,0,0,1,1,
org.tool.kit.feature.iconfactory.IconFactoryResultPlaceholder,IconFactoryResultPlaceholder,1,1,1,0,0,0,0,0,1,2,
org.tool.kit.feature.iconfactory.IconFactorySheet,IconFactorySheet,1,1,1,0,0,0,0,0,1,3,
org.tool.kit.feature.iconfactory.IconFactorySetting,IconFactorySetting,1,1,1,0,0,0,0,0,1,2,
org.tool.kit.feature.iconfactory.Compression,Compression,1,1,1,0,0,0,0,0,1,10,
org.tool.kit.feature.iconfactory.IconsFactoryInput,IconsFactoryInput,1,1,1,0,0,0,0,0,1,1,
org.tool.kit.feature.iconfactory.CompressRangeSliders,CompressRangeSliders,1,1,1,0,0,0,0,0,1,2,
org.tool.kit.feature.iconfactory.Algorithm,Algorithm,1,1,1,0,0,0,0,0,1,2,
org.tool.kit.feature.junk.JunkCodeRoute,JunkCodeRoute,1,1,1,0,0,0,0,0,1,4,
org.tool.kit.feature.junk.JunkCodeScreen,JunkCodeScreen,1,1,1,0,0,0,0,0,1,2,
